DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration imm_date -> org.hibernate.type.BasicTypeReference@6481dce5
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration imm_time -> org.hibernate.type.BasicTypeReference@12365bd8
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration imm_timestamp -> org.hibernate.type.BasicTypeReference@49cb5030
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration imm_calendar -> org.hibernate.type.BasicTypeReference@23c7cb18
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration imm_calendar_date -> org.hibernate.type.BasicTypeReference@30fbc23
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration imm_calendar_time -> org.hibernate.type.BasicTypeReference@2d74cbbd
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@3e2d44f3
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@23afc725
INFO  24-01-13 12:12:54[Test worker] [SpringPersistenceUnitInfo:87] - No LoadTimeWeaver setup: ignoring JPA class transformer
INFO  24-01-13 12:12:54[Test worker] [HikariDataSource:110] - HikariPool-1 - Starting...
INFO  24-01-13 12:12:54[Test worker] [HikariPool:565] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@39f93225
INFO  24-01-13 12:12:54[Test worker] [HikariDataSource:123] - HikariPool-1 - Start completed.
DEBUG 24-01-13 12:12:54[Test worker] [DdlTypeRegistry:64] - addDescriptor(12, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@148b6f95) replaced previous registration(org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@5ee581db)
DEBUG 24-01-13 12:12:54[Test worker] [DdlTypeRegistry:64] - addDescriptor(-9, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@5a6efe33) replaced previous registration(org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@3e5ebdfe)
DEBUG 24-01-13 12:12:54[Test worker] [DdlTypeRegistry:64] - addDescriptor(-3, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@71668a67) replaced previous registration(org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@3ff26c9)
DEBUG 24-01-13 12:12:54[Test worker] [DdlTypeRegistry:64] - addDescriptor(4003, org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@2ecdcfe3) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@65b73689)
DEBUG 24-01-13 12:12:54[Test worker] [DdlTypeRegistry:64] - addDescriptor(4001, org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@2047adea) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@5af40e45)
DEBUG 24-01-13 12:12:54[Test worker] [DdlTypeRegistry:64] - addDescriptor(4002, org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@1a06602f) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@46591e98)
DEBUG 24-01-13 12:12:54[Test worker] [DdlTypeRegistry:64] - addDescriptor(2004, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@5b6cc344) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@2110684a)
DEBUG 24-01-13 12:12:54[Test worker] [DdlTypeRegistry:64] - addDescriptor(2005, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@83e635f) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@61d011e)
DEBUG 24-01-13 12:12:54[Test worker] [DdlTypeRegistry:64] - addDescriptor(2011, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@3b56947a) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@1926f962)
DEBUG 24-01-13 12:12:54[Test worker] [JdbcTypeRegistry:58] - addDescriptor(NCharTypeDescriptor) replaced previous registration(CharTypeDescriptor)
DEBUG 24-01-13 12:12:54[Test worker] [JdbcTypeRegistry:58] - addDescriptor(NVarcharTypeDescriptor) replaced previous registration(VarcharTypeDescriptor)
DEBUG 24-01-13 12:12:54[Test worker] [JdbcTypeRegistry:58] - addDescriptor(LongNVarcharTypeDescriptor) replaced previous registration(LongVarcharTypeDescriptor)
DEBUG 24-01-13 12:12:54[Test worker] [JdbcTypeRegistry:58] - addDescriptor(NClobTypeDescriptor(DEFAULT)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
DEBUG 24-01-13 12:12:54[Test worker] [JdbcTypeRegistry:66] - addDescriptor(2005, ClobTypeDescriptor(STREAM_BINDING)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:385] - Adding type registration null -> org.hibernate.type.NullType@8ee03f5
